Identifier ,objectid,object_location,,creator,publisher,date,date-is-approximate?,format,type,display_template,subject,description,image_small,image_thumb,image_alt_text
"sunro_october_8_2016, Vancouer Sun,  B.C. mines ministry investigating pollution from old Vancouver Island mine",jr-np-m-recent_004,/objects/sunro_october_8_2016_times_colonist_ministry_doesn’t_know_why_contaminated_site_was_deemed_clean.pdf,B.C. mines ministry investigating pollution from old Vancouver Island mine,Amy Smart,Vancouver Sun,2016-10-08,,application/pdf,Article,pdf,Mining; Pollution; Contamination; Teck,,"/objects/small/sunro_october_8_2016, Vancouer Sun,  B.C. mines ministry investigating pollution from old Vancouver Island mine_sm.jpg","/objects/thumbs/sunro_october_8_2016, Vancouer Sun,  B.C. mines ministry investigating pollution from old Vancouver Island mine_th.jpg",
sunro_october_8_2016_times_colonist_ministry_doesn’t_know_why_contaminated_site_was_deemed_clean,jr-np-m-recent_005,"/objects/sunro_october_8_2016, Vancouer Sun,  B.C. mines ministry investigating pollution from old Vancouver Island mine.pdf",Ministry doesn't know why contaminated site was deemed clean,Amy Smart,Times Colonist,2016-10-08,,application/pdf,Article,pdf,Mining; Pollution; Contamination; Ministry of Energy; Map,,/objects/small/sunro_october_8_2016_times_colonist_ministry_doesn’t_know_why_contaminated_site_was_deemed_clean_sm.jpg,/objects/thumbs/sunro_october_8_2016_times_colonist_ministry_doesn’t_know_why_contaminated_site_was_deemed_clean_th.jpg,
sunro_october_11_2016_times_colonist_editorial_province_should_clean_up_mine_sites,jr-np-m-recent_006,/objects/sunro_october_11_2016_times_colonist_editorial_province_should_clean_up_mine_sites.pdf,Editorial: Province should clean up mine sites,Victoria Times-Colonist Staff,Times Colonist ,2016-10-11,,application/pdf,pdf,pdf,Mining; Metal Leaching ,,/objects/small/sunro_october_11_2016_times_colonist_editorial_province_should_clean_up_mine_sites_sm.jpg,/objects/thumbs/sunro_october_11_2016_times_colonist_editorial_province_should_clean_up_mine_sites_th.jpg,
sunro_october_17_2016_vancouver_sun_bc's_failure_on_mining_pollution,jr-np-m-recent_007,/objects/sunro_october_17_2016_vancouver_sun_bc's_failure_on_mining_pollution.pdf,B.C.'s failure on mining pollution leaving taxpayers on the hook,Stephen Hume,The Vancouver Sun,2016-10-17,,application/pdf,pdf,pdf,Mining; Pollution; Contamination; Ministry of Energy; Taxpayers,,/objects/small/sunro_october_17_2016_vancouver_sun_bc's_failure_on_mining_pollution_sm.jpg,/objects/thumbs/sunro_october_17_2016_vancouver_sun_bc's_failure_on_mining_pollution_th.jpg,
the_vancouver_sun_2016_10_05_8,jr-np-m-recent_008,/objects/the_vancouver_sun_2016_10_05_8.pdf,Copper Mine Tailings poison the Jordan River,Stephen Hume,The Vancouver Sun,2016-10-05,,application/pdf,pdf,pdf,Mining; Salmon; Metal Leaching; ,,/objects/small/the_vancouver_sun_2016_10_05_8_sm.jpg,/objects/thumbs/the_vancouver_sun_2016_10_05_8_th.jpg,
the_vancouver_sun_2017_03_11_94,jr-np-m-recent_010,/objects/the_vancouver_sun_2017_03_11_94.pdf,A Sense of Excitement,The Vancouver Sun,The Vancouver Sun,2017-03-11,,application/pdf,pdf,pdf,Mining; Hydroelectric; Logging; History,,/objects/small/the_vancouver_sun_2017_03_11_94_sm.jpg,/objects/thumbs/the_vancouver_sun_2017_03_11_94_th.jpg,
,,,,,,,,,,,,,,,
opssra_newsletter_2015_did_you_know_that_history_of_svi_logging,jr-np-l_001,/objects/opssra_newsletter_2015_did_you_know_that_history_of_svi_logging.pdf,"OPSRRA’S OTTER POINT, SHIRLEY & JORDAN RIVER
NEWSLETTER",OPSRRA,OPSRRA,2015-05,yes,application/pdf,newsletter,pdf,Dumping; Logging; Historical Review,Section 9 - Details about logging history,/objects/small/opssra_newsletter_2015_did_you_know_that_history_of_svi_logging_sm.jpg,/objects/thumbs/opssra_newsletter_2015_did_you_know_that_history_of_svi_logging_th.jpg,
times_colonist_1980_08_15_8_bc_forest_trio_buying_up_rayonier_canada,jr-np-l_002,/objects/times_colonist_1980_08_15_8_bc_forest_trio_buying_up_rayonier_canada.pdf,B.C. Forest Trio buying up Radonier Canada Assets,Times Colonist,Times Colonist,1980-08-15,,application/pdf,news article,pdf,Logging; B.C Forest Products; Rayonier Canada; ITT Industries Canada,,/objects/small/times_colonist_1980_08_15_8_bc_forest_trio_buying_up_rayonier_canada_sm.jpg,/objects/thumbs/times_colonist_1980_08_15_8_bc_forest_trio_buying_up_rayonier_canada_th.jpg,
times_colonist_1983_point_no_point_rail,jr-np-l_003,/objects/times_colonist_1983_point_no_point_rail.pdf,Point No Point and its Railway,Patrick Hind,Times Colonist,1983-02-20,,application/pdf,news article,pdf,Logging; island logging company; log boom,,/objects/small/times_colonist_1983_point_no_point_rail_sm.jpg,/objects/thumbs/times_colonist_1983_point_no_point_rail_th.jpg,
1961_coastnews_12_1_handover_of_jr_water_power_from_bce_to_bch,jr-np-l_004,/objects/1961_coastnews_12_1_handover_of_jr_water_power_from_bce_to_bch.pdf,BCE  change-over for New Year's Eve,Coast News ,Coast News ,1961-12-21,,application/pdf,news article,pdf,Logging,,/objects/small/1961_coastnews_12_1_handover_of_jr_water_power_from_bce_to_bch_sm.jpg,/objects/thumbs/1961_coastnews_12_1_handover_of_jr_water_power_from_bce_to_bch_th.jpg,
1908_bndry_p2col4_9_32kacressold_us_by_jr_lumber,jr-np-l-1900-1920_001,/objects/1908_bndry_p2col4_9_32kacressold_us_by_jr_lumber.pdf,"The Jordan River Lumber Company, of Vancouver Island, has disposed of 32.000 acres of timber to Michigan and Seattle capitalists for a million dollars.'",Boundary Creek Times,Boundary Creek Times,1909-04-02,,application/pdf,news article,pdf,Logging; The Jordan River Lumber Company,"The Jordan River Lumber Company, of Vancouver Island, has disposed of 32.000 acres of timber to Michigan and Seattle capitalists for a million dollars.'
",/objects/small/1908_bndry_p2col4_9_32kacressold_us_by_jr_lumber_sm.jpg,/objects/thumbs/1908_bndry_p2col4_9_32kacressold_us_by_jr_lumber_th.jpg,
1908_wkly_p7col9certificate_of_regjrlumber,jr-np-l-1900-1920_002,/objects/1908_wkly_p7col9certificate_of_regjrlumber.pdf,CERTIFICATE OF THE REGISTRATION OF AN EXTRA-PROVINCIAL COMPANY,The Week,The Week,1908-12-07,,application/pdf,news article,pdf,Logging; The Jordan River Lumber Company,,/objects/small/1908_wkly_p7col9certificate_of_regjrlumber_sm.jpg,/objects/thumbs/1908_wkly_p7col9certificate_of_regjrlumber_th.jpg,
1909_crnbrk_1_5_lumber_dvelopents_transactions,jr-np-l-1900-1920_003,/objects/1909_crnbrk_1_5_lumber_dvelopents_transactions.pdf,"W. R. Welch and B. T. Lyons, of Now York, who recently bought the limits of the Jordan River Timber company",The Cranbrook Herald,The Cranbrook Herald,1909-04-08,,application/pdf,news article,pdf,Loggin; The Jordan River Lumber Company,,/objects/small/1909_crnbrk_1_5_lumber_dvelopents_transactions_sm.jpg,/objects/thumbs/1909_crnbrk_1_5_lumber_dvelopents_transactions_th.jpg,
1909_nlsn_timberlandsold_jr180k6_1,jr-np-l-1900-1920_004,/objects/1909_nlsn_timberlandsold_jr180k6_1.pdf,News of the Dominion,The Daily News,The Daily News,1909-04-08,,application/pdf,news article,pdf,Logging,,/objects/small/1909_nlsn_timberlandsold_jr180k6_1_sm.jpg,/objects/thumbs/1909_nlsn_timberlandsold_jr180k6_1_th.jpg,
1910_bc_timber_profitable_3_1,jr-np-l-1900-1920_005,/objects/1910_bc_timber_profitable_3_1.pdf,B.C. Timber Profitable,The Mail-Herald,The Mail-Herald,1910-12-14,,application/pdf,news article,pdf,Logging,,/objects/small/1910_bc_timber_profitable_3_1_sm.jpg,/objects/thumbs/1910_bc_timber_profitable_3_1_th.jpg,
1916_nelsondaily_6_2_feature_article_on_tracts_of_land_for_loggin,jr-np-l-1900-1920_006,/objects/1916_nelsondaily_6_2_feature_article_on_tracts_of_land_for_loggin.pdf,"Grants Allowed on Surveyors' Reports: Committee Hears Statement Concerning Tracts of Land on Jordan River, Vancouver. Island.",The Daily News,The Daily News,1916-05-04,,application/pdf,news article,pdf,Logging; Land Grants,,/objects/small/1916_nelsondaily_6_2_feature_article_on_tracts_of_land_for_loggin_sm.jpg,/objects/thumbs/1916_nelsondaily_6_2_feature_article_on_tracts_of_land_for_loggin_th.jpg,
"1918_bcrecord_750,000_4_2_timber_license_deal",jr-np-l-1900-1920_007,"/objects/1918_bcrecord_750,000_4_2_timber_license_deal.pdf",Big Island Timber Deal is Under Way ,British Columbia Record,British Columbia Record,1918-05-17,,application/pdf,news article,pdf,Logging,,"/objects/small/1918_bcrecord_750,000_4_2_timber_license_deal_sm.jpg","/objects/thumbs/1918_bcrecord_750,000_4_2_timber_license_deal_th.jpg",
the_week_1914_water_notice_clearing_streams,jr-np-l-1900-1920_008,/objects/the_week_1914_water_notice_clearing_streams.pdf,Water Notice: Clearing-Streams,The Week,The Week,1914-10-03,,application/pdf,news article,pdf,Logging,,/objects/small/the_week_1914_water_notice_clearing_streams_sm.jpg,/objects/thumbs/the_week_1914_water_notice_clearing_streams_th.jpg,
vdt_1909_jr_million_dollar_lumber_deal,jr-np-l-1900-1920_009,/objects/vdt_1909_jr_million_dollar_lumber_deal.pdf,Million Dollar Lumber Deal: Americans Purchase Jordan River Limits,The Victoria Daily Times,The Victoria Daily Times,1909-03-16,,application/pdf,news article,pdf,Logging,,/objects/small/vdt_1909_jr_million_dollar_lumber_deal_sm.jpg,/objects/thumbs/vdt_1909_jr_million_dollar_lumber_deal_th.jpg,
,,,,,,,,,,,,,/objects/small/_sm.jpg,/objects/thumbs/_th.jpg,
1928_nelsondaily_2_2_chinese drowneed_in_boom_at_jr,jr-np-l-1921-1960_001,/objects/1928_nelsondaily_2_2_chinese drowneed_in_boom_at_jr.pdf,Drowns in Boom,The Daily News,The Daily News,1928-07-16,,application/pdf,news article,pdf,Drowning; Logging; Booming,,/objects/small/1928_nelsondaily_2_2_chinese drowneed_in_boom_at_jr_sm.jpg,/objects/thumbs/1928_nelsondaily_2_2_chinese drowneed_in_boom_at_jr_th.jpg,
1928_nelsondaily_2_5_logger_find_huge_whale_fossils,jr-np-l-1921-1960_002,/objects/1928_nelsondaily_2_5_logger_find_huge_whale_fossils.pdf,Hunt Whales off Vancouver Island,The Daily News,The Daily News,1928-08-31,,application/pdf,news article,pdf,Logging; Whale Hunting; History,,/objects/small/1928_nelsondaily_2_5_logger_find_huge_whale_fossils_sm.jpg,/objects/thumbs/1928_nelsondaily_2_5_logger_find_huge_whale_fossils_th.jpg,
1932_nelsondaily_1_3_somebody_died_in_JR_working_for_mulligan_lumber_company,jr-np-l-1921-1960_003,/objects/1932_nelsondaily_1_3_somebody_died_in_JR_working_for_mulligan_lumber_company.pdf,Falling Tree is Cause of Death,Nelson Daily News,Nelson Daily News,1932-04-17,,application/pdf,news article,pdf,Logging; Casualty,,/objects/small/1932_nelsondaily_1_3_somebody_died_in_JR_working_for_mulligan_lumber_company_sm.jpg,/objects/thumbs/1932_nelsondaily_1_3_somebody_died_in_JR_working_for_mulligan_lumber_company_th.jpg,
1937_nelsondaily_1_7_timber_license_auctioned_in_jordan_river,jr-np-l-1921-1960_004,/objects/1937_nelsondaily_1_7_timber_license_auctioned_in_jordan_river.pdf,Timber Licence Offered in Slocan,Nelson Daily News,Nelson Daily News,1937-03-30,,application/pdf,news article,pdf,Logging,,/objects/small/1937_nelsondaily_1_7_timber_license_auctioned_in_jordan_river_sm.jpg,/objects/thumbs/1937_nelsondaily_1_7_timber_license_auctioned_in_jordan_river_th.jpg,
1960_coast_news_4_1_story_of_logger_useful_as_it_offers_the_companies_they_worked_for_in_early_days,jr-np-l-1921-1960_005,/objects/1960_coast_news_4_1_story_of_logger_useful_as_it_offers_the_companies_they_worked_for_in_early_days.pdf,Robert Burns,,Coast News,1960-01-21,,application/pdf,news article,pdf,Logging,,/objects/small/1960_coast_news_4_1_story_of_logger_useful_as_it_offers_the_companies_they_worked_for_in_early_days_sm.jpg,/objects/thumbs/1960_coast_news_4_1_story_of_logger_useful_as_it_offers_the_companies_they_worked_for_in_early_days_th.jpg,
,,,,,,,,,,,,,,,
1906_newest_1000_pink_and_4000_sockeye_caught_in_jr_traps_3_3_3,jr-np-fish_001,/objects/1906_newest_1000_pink_and_4000_sockeye_caught_in_jr_traps_3_3_3.pdf,Tons of Sockeyes Caught in Traps,The Daily News,The Daily News,1906-07-17,,application/pdf,news article,pdf,Fishing; Salmon; Traps,,/objects/small/1906_newest_1000_pink_and_4000_sockeye_caught_in_jr_traps_3_3_3_sm.jpg,/objects/thumbs/1906_newest_1000_pink_and_4000_sockeye_caught_in_jr_traps_3_3_3_th.jpg,
bcsessional_10064128,jr-np-fish_003,/objects/bcsessional_10064128.pdf,Application for Foreshore Rights,W. C. WELLS,RICHARD WOLFENDEN,1902,,application/pdf,application,pdf,Fishing; Traps,,/objects/small/bcsessional_10064128_sm.jpg,/objects/thumbs/bcsessional_10064128_th.jpg,
bcsessional_10064162,jr-np-fish_004,/objects/bcsessional_10064162.pdf,REPORT OF THE FISHERIES COMMISSIONER FOR BRITISH COLUMBIA,John Pease Babcock,Fisheries Commissioner,1902,,application/pdf,news article,pdf,Fishing; Traps,,/objects/small/bcsessional_10064162_sm.jpg,/objects/thumbs/bcsessional_10064162_th.jpg,
campbell_2015_heritate_sites_and_areas_of_historical_interest_in_otter_point_history,jr-np-fish_005,/objects/campbell_2015_heritate_sites_and_areas_of_historical_interest_in_otter_point_history.pdf,Otter Point History,,Sooke Region Historical Society,2014-01-01,,application/pdf,news article,pdf,Otter Point; Settlement; Fishing,,/objects/small/campbell_2015_heritate_sites_and_areas_of_historical_interest_in_otter_point_history_sm.jpg,/objects/thumbs/campbell_2015_heritate_sites_and_areas_of_historical_interest_in_otter_point_history_th.jpg,
knowbc_website_2022_traps_and_weirs_in_knowbc,jr-np-fish_007,/objects/knowbc_website_2022_traps_and_weirs_in_knowbc.pdf,Traps and Weirs,,KNOWBC.com ,,,application/pdf,Web Page,pdf,Indigenous Fishing Practices; Fishing,,/objects/small/knowbc_website_2022_traps_and_weirs_in_knowbc_sm.jpg,/objects/thumbs/knowbc_website_2022_traps_and_weirs_in_knowbc_th.jpg,
macfarlane_2017_fish _traps_on_the_british_columbia_coast_in_the_nauticapedia,jr-np-fish_008,/objects/macfarlane_2017_fish _traps_on_the_british_columbia_coast_in_the_nauticapedia.pdf,Fish Traps on the British Columbia Coast,John MacFarlane,The Nauticapedia,2017,,application/pdf,news article,pdf,Fishing; Traps;,,/objects/small/macfarlane_2017_fish _traps_on_the_british_columbia_coast_in_the_nauticapedia_sm.jpg,/objects/thumbs/macfarlane_2017_fish _traps_on_the_british_columbia_coast_in_the_nauticapedia_th.jpg,
micfitz_2015_the_rise_and_demise_of_jh_todd_and_sons_british_columbias_enduring_independent_salmon_canners,jr-np-fish_009,/objects/micfitz_2015_the_rise_and_demise_of_jh_todd_and_sons_british_columbias_enduring_independent_salmon_canners.pdf,"The Rise and Demise of J.H. Todd and Sons, British Columbia’s Enduring Independent Salmon Canners",Mickey Fitzgerald,University of Victoria,2015,,application/pdf,news article,pdf,Fishing; Canning; J. H. Todd & Sons,,/objects/small/micfitz_2015_the_rise_and_demise_of_jh_todd_and_sons_british_columbias_enduring_independent_salmon_canners_sm.jpg,/objects/thumbs/micfitz_2015_the_rise_and_demise_of_jh_todd_and_sons_british_columbias_enduring_independent_salmon_canners_th.jpg,
millerd_2000_turning_points_in_the_development_of_the_bc_salmon_fishery,jr-np-fish_010,/objects/millerd_2000_turning_points_in_the_development_of_the_bc_salmon_fishery.pdf,Turning Points in the Development of the British Columbia Salmon Fishery,Frank Millerd,Wilfrid Laurier University,2000,,application/pdf,news article,pdf,salmon; fishing rights,,/objects/small/millerd_2000_turning_points_in_the_development_of_the_bc_salmon_fishery_sm.jpg,/objects/thumbs/millerd_2000_turning_points_in_the_development_of_the_bc_salmon_fishery_th.jpg,
millerd_2007_early_attempts_to_establish_exclusive_rights_in_the_bc_salmon_industry,jr-np-fish_011,/objects/millerd_2007_early_attempts_to_establish_exclusive_rights_in_the_bc_salmon_industry.pdf,"Early Attempts at Establishing Exclusive Rights in
the British Columbia Salmon Fishery",Frank Millerd,University of Wisconsin Press,2007-02,,application/pdf,news article,pdf,Fishing; Traps;,,/objects/small/millerd_2007_early_attempts_to_establish_exclusive_rights_in_the_bc_salmon_industry_sm.jpg,/objects/thumbs/millerd_2007_early_attempts_to_establish_exclusive_rights_in_the_bc_salmon_industry_th.jpg,
nelsondaymin1904new_canner_capital_city_packing_jr_and_beecher_bay_evidence_of_fish_traps_in_jordan_river_1_7_9,jr-np-fish_012,/objects/nelsondaymin1904new_canner_capital_city_packing_jr_and_beecher_bay_evidence_of_fish_traps_in_jordan_river_1_7_9.pdf,Will Construct Traps,,The Daily News,1904-04-16,,application/pdf,news article,pdf,Fishing; Canning; J. H. Todd & Sons,,/objects/small/nelsondaymin1904new_canner_capital_city_packing_jr_and_beecher_bay_evidence_of_fish_traps_in_jordan_river_1_7_9_sm.jpg,/objects/thumbs/nelsondaymin1904new_canner_capital_city_packing_jr_and_beecher_bay_evidence_of_fish_traps_in_jordan_river_1_7_9_th.jpg,
payton_2021_like_a_hotel_california_for_fish_in_the_tyee,jr-np-fish_013,/objects/payton_2021_like_a_hotel_california_for_fish_in_the_tyee.pdf,Like a Hotel California for Fish,Brian Payton,The Tyee,2021-09-02,,application/pdf,news article,pdf,Indigenous Fishing Practices; Fishing; Traps,,/objects/small/payton_2021_like_a_hotel_california_for_fish_in_the_tyee_sm.jpg,/objects/thumbs/payton_2021_like_a_hotel_california_for_fish_in_the_tyee_th.jpg,
payton_2022_can_ancient_indigenous_technology_help_save_bcs_salmon_in_the_walrus,jr-np-fish_014,/objects/payton_2022_can_ancient_indigenous_technology_help_save_bcs_salmon_in_the_walrus.pdf,Can Ancient Indigenous Technology Help Save BC’s Salmon?,Brian Payton,The Walrus,2021-09-01,,application/pdf,news article,pdf,Indigenous Fishing Practices; Fishing; Traps; Restoration; Preservation,,/objects/small/payton_2022_can_ancient_indigenous_technology_help_save_bcs_salmon_in_the_walrus_sm.jpg,/objects/thumbs/payton_2022_can_ancient_indigenous_technology_help_save_bcs_salmon_in_the_walrus_th.jpg,
peers_2012_sooke_once_had_a_salmon_cannery_in_sooke_news_mirror,jr-np-fish_015,/objects/peers_2012_sooke_once_had_a_salmon_cannery_in_sooke_news_mirror.pdf,Sooke once had a salmon cannery,Elida Peers,Sooke News Mirror,2012-10-24,,application/pdf,news article,pdf,J. H. Todd & Sons; Canning; Sooke Harbour Fishing and Packing Company; Fishing,,/objects/small/peers_2012_sooke_once_had_a_salmon_cannery_in_sooke_news_mirror_sm.jpg,/objects/thumbs/peers_2012_sooke_once_had_a_salmon_cannery_in_sooke_news_mirror_th.jpg,
peers_2016_living_on_a_salmon_trap_in_sooke_news_mirror,jr-np-fish_016,/objects/peers_2016_living_on_a_salmon_trap_in_sooke_news_mirror.pdf,SOOKE HISTORY: Living on a salmon trap,Elida Peers,Sooke News Mirror,2016-07-06,,application/pdf,news article,pdf,J. H. Todd & Sons; Canning; Sooke Harbour Fishing and Packing Company; Fishing; Indigenous Fishing Practices; Fishing; Traps,,/objects/small/peers_2016_living_on_a_salmon_trap_in_sooke_news_mirror_sm.jpg,/objects/thumbs/peers_2016_living_on_a_salmon_trap_in_sooke_news_mirror_th.jpg,
project_watershed_website_highlights_from_the_ancient_fish_trap_study,jr-np-fish_017,/objects/project_watershed_website_highlights_from_the_ancient_fish_trap_study.pdf,Highlights from the Ancient Fish Trap Study,,Project Watershed,,,application/pdf,news article,pdf,Indigenous Fishing Practices; Fishing; Traps,,/objects/small/project_watershed_website_highlights_from_the_ancient_fish_trap_study_sm.jpg,/objects/thumbs/project_watershed_website_highlights_from_the_ancient_fish_trap_study_th.jpg,
selkirk_2021_an_underwater_mystery_on_canadas_coast_in_bbc_website,jr-np-fish_018,/objects/selkirk_2021_an_underwater_mystery_on_canadas_coast_in_bbc_website.pdf,An underwater mystery on Canada's coast,Diane Selkirk,BBC,2021-10-14,,application/pdf,news article,pdf,Indigenous Fishing Practices; Fishing; Traps,Tens of thousands of wooden stakes poking up from British Columbia's shoreline have smashed a long-held stereotype of Canada's First Nation people.,/objects/small/selkirk_2021_an_underwater_mystery_on_canadas_coast_in_bbc_website_sm.jpg,/objects/thumbs/selkirk_2021_an_underwater_mystery_on_canadas_coast_in_bbc_website_th.jpg,
vdt_1902_foreshore_lease_notice_for_fishing,jr-np-fish_021,/objects/vdt_1902_foreshore_lease_notice_for_fishing.pdf,Lease Notice for Fishing,,Victoria Daily Times,1902-08-05,,application/pdf,news article,pdf,Fishing; Lease,,/objects/small/vdt_1902_foreshore_lease_notice_for_fishing_sm.jpg,/objects/thumbs/vdt_1902_foreshore_lease_notice_for_fishing_th.jpg,
,,,,,,,,,,,,,,,
1901_gdln_commercial_pacific_tele_cable4_3_11,jr-np-s_001,/objects/1901_gdln_commercial_pacific_tele_cable4_3_11.pdf,A Survey Party on board the S.S. Quadra proceeded to the Jordan River and commenced a Survey...,The Golden Era,The Golden Era,1901-04-05,,application/pdf,news article,pdf,Settlement,,/objects/small/1901_gdln_commercial_pacific_tele_cable4_3_11_sm.jpg,/objects/thumbs/1901_gdln_commercial_pacific_tele_cable4_3_11_th.jpg,
1908nlsndaily_tug_with_a_history,jr-np-s_002,/objects/1908nlsndaily_tug_with_a_history.pdf,Tug With a History,The Daily News,The Daily News,1908-01-27,,application/pdf,news article,pdf,Settlement; Lumber,,/objects/small/1908nlsndaily_tug_with_a_history_sm.jpg,/objects/thumbs/1908nlsndaily_tug_with_a_history_th.jpg,
1909nlsn8_5_10_death_in_pile_driver_accident,jr-np-s_003,/objects/1909nlsn8_5_10_death_in_pile_driver_accident.pdf,Killed by Derrick ,The Daily News,The Daily News,1909-05-16,,application/pdf,news article,pdf,Settlement,,/objects/small/1909nlsn8_5_10_death_in_pile_driver_accident_sm.jpg,/objects/thumbs/1909nlsn8_5_10_death_in_pile_driver_accident_th.jpg,
1910_daily_progress_2_1,jr-np-s_004,/objects/1910_daily_progress_2_1.pdf,"Victoria Must Make Enormous Progress During 1910, Because During 1910 the Following Will Be Under Way",The Daily News,The Daily News,1910-02-13,,application/pdf,news article,pdf,Settlement; Railway; Electric Power,,/objects/small/1910_daily_progress_2_1_sm.jpg,/objects/thumbs/1910_daily_progress_2_1_th.jpg,
1911_week,jr-np-s_005,/objects/1911_week.pdf,B.C.E.R. Extensions,The Week,The Week,1911-02-25,,application/pdf,news article,pdf,Settlement; Power Plant,,/objects/small/1911_week_sm.jpg,/objects/thumbs/1911_week_th.jpg,
1914_cumberland_4_2_best_thing_fed_did_in_1913_was_extend_telgraph_line_to_jr,jr-np-s_006,/objects/1914_cumberland_4_2_best_thing_fed_did_in_1913_was_extend_telgraph_line_to_jr.pdf,The Islander,The Islander,The Islander,1914-02-07,,application/pdf,news article,pdf,Settlement,,/objects/small/1914_cumberland_4_2_best_thing_fed_did_in_1913_was_extend_telgraph_line_to_jr_sm.jpg,/objects/thumbs/1914_cumberland_4_2_best_thing_fed_did_in_1913_was_extend_telgraph_line_to_jr_th.jpg,
1923_abpost_3_4_resolution_to_build_23_mile_highway_bt_pr_and_jr,jr-np-s_007,/objects/1923_abpost_3_4_resolution_to_build_23_mile_highway_bt_pr_and_jr.pdf,,The Abbotsford Post,The Abbotsford Post,1923-08-30,,application/pdf,news article,pdf,Settlement; Canadian National Railway,,/objects/small/1923_abpost_3_4_resolution_to_build_23_mile_highway_bt_pr_and_jr_sm.jpg,/objects/thumbs/1923_abpost_3_4_resolution_to_build_23_mile_highway_bt_pr_and_jr_th.jpg,
1927_nelsondaily_3_1_confirmation_of_jr_to_pr_road_to_be_built_500,jr-np-s_008,/objects/1927_nelsondaily_3_1_confirmation_of_jr_to_pr_road_to_be_built_500.pdf,Jordan River Road to be Built,The Daily News,The Daily News, 1927-12-08,,application/pdf,news article,pdf,Settlement; Road,,/objects/small/1927_nelsondaily_3_1_confirmation_of_jr_to_pr_road_to_be_built_500_sm.jpg,/objects/thumbs/1927_nelsondaily_3_1_confirmation_of_jr_to_pr_road_to_be_built_500_th.jpg,
1927_nelsondaily_jordan_river_quintet_bball_wins,jr-np-s_009,/objects/1927_nelsondaily_jordan_river_quintet_bball_wins.pdf,Kelowna Beaten,The Daily News,The Daily News,1928-01-11,,application/pdf,news article,pdf,Settlement,,/objects/small/1927_nelsondaily_jordan_river_quintet_bball_wins_sm.jpg,/objects/thumbs/1927_nelsondaily_jordan_river_quintet_bball_wins_th.jpg,
1928_grandforks_3_4_highway_report_sooke_to_jr_road_fair,jr-np-s_010,/objects/1928_grandforks_3_4_highway_report_sooke_to_jr_road_fair.pdf,Vancouver Island,The Grand Forks Sun,The Grand Forks Sun,1928-09-07,,application/pdf,news article,pdf,Settlement,,/objects/small/1928_grandforks_3_4_highway_report_sooke_to_jr_road_fair_sm.jpg,/objects/thumbs/1928_grandforks_3_4_highway_report_sooke_to_jr_road_fair_th.jpg,
1928_nelsondaily_7_3_jr_defeated_by_university_team,jr-np-s_011,/objects/1928_nelsondaily_7_3_jr_defeated_by_university_team.pdf,Sandon Notes,The Daily News,The Daily News,1928-03-10,,application/pdf,news article,pdf,Settlement,,/objects/small/1928_nelsondaily_7_3_jr_defeated_by_university_team_sm.jpg,/objects/thumbs/1928_nelsondaily_7_3_jr_defeated_by_university_team_th.jpg,
1928_nelsondaily_7_5_jordan_river_island_winners,jr-np-s_012,/objects/1928_nelsondaily_7_5_jordan_river_island_winners.pdf,Butler's Shot Just Before Bell Wins for Varsity Team,The Daily News,The Daily News,1928-03-07,,application/pdf,news article,pdf,Settlement,,/objects/small/1928_nelsondaily_7_5_jordan_river_island_winners_sm.jpg,/objects/thumbs/1928_nelsondaily_7_5_jordan_river_island_winners_th.jpg,
1933_nelsondaily_2_5_plan_to_extend_trail_from_jr_to_pr_underway,jr-np-s_013,/objects/1933_nelsondaily_2_5_plan_to_extend_trail_from_jr_to_pr_underway.pdf,Plan Road Work as Relief Move,The Daily News,The Daily News,1933-10-06,,application/pdf,news article,pdf,Settlement; Road,,/objects/small/1933_nelsondaily_2_5_plan_to_extend_trail_from_jr_to_pr_underway_sm.jpg,/objects/thumbs/1933_nelsondaily_2_5_plan_to_extend_trail_from_jr_to_pr_underway_th.jpg,
1936_nelsondaily_1_7_jr_to_victoria_part_of_the_big_road_tweaking_program,jr-np-s_014,/objects/1936_nelsondaily_1_7_jr_to_victoria_part_of_the_big_road_tweaking_program.pdf,Main Highways,The Daily News,The Daily News,1936-06-30,,application/pdf,news article,pdf,Settlement; Road,,/objects/small/1936_nelsondaily_1_7_jr_to_victoria_part_of_the_big_road_tweaking_program_sm.jpg,/objects/thumbs/1936_nelsondaily_1_7_jr_to_victoria_part_of_the_big_road_tweaking_program_th.jpg,
daily_colonist_1936_05_31_little_rills_and_waters_numberless,jr-np-s_015,/objects/daily_colonist_1936_05_31_little_rills_and_waters_numberless.pdf,Little Rills and Water Numberles,Robert Connell,The Daily Colonist,1936-05-31,,application/pdf,news article,pdf,Settlement; Ecology,,/objects/small/daily_colonist_1936_05_31_little_rills_and_waters_numberless_sm.jpg,/objects/thumbs/daily_colonist_1936_05_31_little_rills_and_waters_numberless_th.jpg,
edmonton_journal_1980_12_29_59_hotel_for_sale,jr-np-s_016,/objects/edmonton_journal_1980_12_29_59_hotel_for_sale.jpg,Hotel for Sale,,Edmonton Journal,1980,,application/pdf,news article,pdf,Settlement; Real Estate,,/objects/small/edmonton_journal_1980_12_29_59_hotel_for_sale_sm.jpg,/objects/thumbs/edmonton_journal_1980_12_29_59_hotel_for_sale_th.jpg,
